R,Host,Drought,Fungi,Salinity,Treatment code,Protein,POX,CAT,SOD,Proline
61,Cucumis sativus,Drought2,Periconia macrospinosa,salinity1,PMD2S1,22.5467,0.162607856,0.16309568,1.1141672,11.8737
62,Cucumis sativus,Drought2,Periconia macrospinosa,salinity2,PMD2S2,19.9511,0.2305689,0.231260607,1.16630272,12.76548
63,Cucumis sativus,Drought2,Periconia macrospinosa,salinity3,PMD2S3,15.5221,0.311807,0.312742421,1.35676104,14.797536
64,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity1,NCD2S1,28.531,0.115899784,0.116247483,0.78554576,8.778522
65,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity2,NCD2S2,23.8548,0.169627309,0.170136191,0.862272,9.787536
66,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity3,NCD2S3,19.673,0.21802552,0.218679597,0.9588784,10.644246
67,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity1,NGD2S1,28.8194,0.120610522,0.120972354,0.807382,8.521008
68,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity2,NGD2S2,25.3174,0.172125587,0.172641964,0.957614932,9.781524
69,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity3,NGD2S3,20.3013,0.223192916,0.223862495,1.0303352,11.196348
70,Cucumis sativus,Drought2,Control,salinity1,COD2S1,20.5588,0.105509993,0.105826523,0.910682984,10.4850282
71,Cucumis sativus,Drought2,Control,salinity2,COD2S2,16.2431,0.156919604,0.157390363,1.089317,11.77791882
72,Cucumis sativus,Drought2,Control,salinity3,COD2S3,10.815,0.180837442,0.181379954,1.2081788,12.8989464
73,Cucumis sativus,Drought3,Periconia macrospinosa,salinity1,PMD3S1,20.5176,0.249055447,0.249802613,1.3476992,13.400748
74,Cucumis sativus,Drought3,Periconia macrospinosa,salinity2,PMD3S2,15.5427,0.318966341,0.31992324,1.65402532,14.6546508
75,Cucumis sativus,Drought3,Periconia macrospinosa,salinity3,PMD3S3,13.0192,0.395246837,0.396432578,2.0512892,19.0153548
76,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity1,NCD3S1,26.9654,0.11793326,0.11828706,0.8730504,9.7737084
77,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity2,NCD3S2,21.3725,0.1748,0.1753244,1.1830292,11.66829
78,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity3,NCD3S3,19.0447,0.23489,0.23559467,1.8111704,20.815548
79,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity1,NGD3S1,26.2547,0.12525,0.12562575,0.75136426,10.66629
80,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity2,NGD3S2,21.5888,0.1887,0.1892661,1.1918116,11.06582748
81,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity3,NGD3S3,19.3022,0.24598,0.24671794,1.85162932,19.482888
82,Cucumis sativus,Drought3,Control,salinity1,COD3S1,15.2131,0.151583,0.152037749,1.07871824,12.799548
83,Cucumis sativus,Drought3,Control,salinity2,COD3S2,9.7232,0.209453,0.210081359,1.26488516,12.468888
84,Cucumis sativus,Drought3,Control,salinity3,COD3S3,6.4066,0.230453,0.231144359,1.448098,15.805548
85,Cucumis sativus,Drought4,Periconia macrospinosa,salinity1,PMD4S1,13.2458,0.321055447,0.322018613,1.706102956,14.26347
86,Cucumis sativus,Drought4,Periconia macrospinosa,salinity2,PMD4S2,10.3,0.391663412,0.392838402,2.0001916,17.787504
87,Cucumis sativus,Drought4,Periconia macrospinosa,salinity3,PMD4S3,8.1061,0.455246837,0.456612578,2.22442224,21.941295
88,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity1,NCD4S1,16.0886,0.25093326,0.25168606,1.6488956,11.77824948
89,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity2,NCD4S2,14.111,0.3248,0.3257744,1.95532152,16.6869072
90,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity3,NCD4S3,12.257,0.39489,0.39607467,2.118754,23.80194888
91,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity1,NGD4S1,17.4379,0.255125,0.255890375,1.59191978,12.799548
92,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity2,NGD4S2,14.6054,0.3247,0.3256741,1.9566788,16.7967264
93,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity3,NGD4S3,13.184,0.39598,0.39716794,2.24837424,23.0901882
94,Cucumis sativus,Drought4,Control,salinity1,COD4S1,6.2212,0.200183,0.200783549,1.4983972,13.770486
95,Cucumis sativus,Drought4,Control,salinity2,COD4S2,4.9646,0.251145,0.251898435,1.7548832,13.631709
96,Cucumis sativus,Drought4,Control,salinity3,COD4S3,4.8616,0.286453,0.287312359,1.7771885,16.941315
