Fungi ,Drought ,Salinity,Value,,,,,,,,,
Neocamarosporium goegapense,Drought4,salinity1,111.91,111.27,114.28,110.18,,,,,,
Neocamarosporium goegapense,Drought4,salinity2,107.78,107.46,110.54,105.34,,,,,,
Neocamarosporium goegapense,Drought4,salinity3,99.97333333,99.08,102.36,98.48,,,,,,
Periconia macrospinosa,Drought1,salinity1,131.4766667,131.61,133.61,129.21,,,,,,
Periconia macrospinosa,Drought1,salinity2,126.3666667,126.49,128.38,124.23,,,,,,
Periconia macrospinosa,Drought1,salinity3,119.06,119.93,120.33,116.92,,,,,,
Periconia macrospinosa,Drought2,salinity1,122.7933333,122.7,124.7,120.98,,,,,,
Periconia macrospinosa,Drought2,salinity2,116.2666667,117.16,117.41,114.23,,,,,,
Periconia macrospinosa,Drought2,salinity3,108.66,109.11,110.51,106.36,,,,,,
Periconia macrospinosa,Drought3,salinity1,111.72,112.9,112.9,109.36,,,,,,
Periconia macrospinosa,Drought3,salinity2,106.8866667,107.38,108.11,105.17,,,,,,
Periconia macrospinosa,Drought3,salinity3,98.68,99.76,99.93,96.35,,,,,,
Periconia macrospinosa,Drought4,salinity1,89.36333333,90.44,90.44,87.21,,,,,,
Periconia macrospinosa,Drought4,salinity2,84.16666667,84.26,85.89,82.35,,,,,,
Periconia macrospinosa,Drought4,salinity3,77.00333333,77.11,78.93,74.97,,,,,,
Control,Drought1,salinity1,120.2966667,120.33,122.97,117.59,,,,,,
Control,Drought1,salinity2,112.31,112.42,114.17,110.34,,,,,,
Control,Drought1,salinity3,108.4966667,108.11,109.51,107.87,,,,,,
Control,Drought2,salinity1,95.02333333,95.16,98.65,91.26,,,,,,
Control,Drought2,salinity2,87.31,87.22,88.36,86.35,,,,,,
Control,Drought2,salinity3,83.25333333,83.12,84.95,81.69,,,,,,
Control,Drought3,salinity1,75.32333333,75.4,78.01,72.56,,,,,,
Control,Drought3,salinity2,67.59333333,67.61,69.28,65.89,,,,,,
Control,Drought3,salinity3,64.25666667,63.6,65.39,63.78,,,,,,
Control,Drought4,salinity1,55.04333333,56.4,52.44,56.29,,,,,,
Control,Drought4,salinity2,48.47,47.12,51.29,47,,,,,,
Control,Drought4,salinity3,45.39666667,45.38,45.93,44.88,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
