R,Host,Drought,fungi,Salinity,Treatment code,Protein,POX,CAT,SOD,Proline
87,Solanum lycopersicum,Drought4,Periconia macrospinosa,salinity3,PMD4S3,10.5978,0.486702578,0.353580702,2.9275564,37.04509
88,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity1,NCD4S1,17.2584,0.27876706,0.24149929,1.7574566,25.85775896
89,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity2,NCD4S2,15.606,0.3157444,0.26545308,2.41646772,30.9770144
90,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity3,NCD4S3,13.872,0.45625467,0.323310649,2.8377879,34.89345776
91,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity1,NGD4S1,17.2686,0.270935375,0.243263643,1.720145,25.877096
92,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity2,NGD4S2,15.6978,0.31782061,0.264562902,2.4579518,30.5850528
93,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity3,NGD4S3,13.974,0.46737794,0.329586904,2.86143864,34.1802764
94,Solanum lycopersicum,Drought4,Control,salinity1,COD4S1,10.7508,0.22650749,0.193703933,1.4657842,18.817972
95,Solanum lycopersicum,Drought4,Control,salinity2,COD4S2,7.9764,0.28229435,0.221598911,1.8940652,24.502118
96,Solanum lycopersicum,Drought4,Control,salinity3,COD4S3,5.8344,0.32550359,0.241601311,2.10705225,25.70993
97,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity1,PMD1S1,20.4039,0.083488466,0.105416712,0.55177424,10.242639
98,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity2,PMD1S2,17.1072,0.164091659,0.123505852,1.138997041,17.58438
99,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity3,PMD1S3,14.9193,0.279741803,0.176464058,1.5262414,19.95048
100,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity1,NCD1S1,24.9183,0.086899519,0.08909651,0.54758264,10.3356
101,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity2,NCD1S2,22.2057,0.127166353,0.105351551,0.8200566,12.51756
102,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity3,NCD1S3,20.4435,0.244375439,0.162462464,1.09648264,14.62626
103,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity1,NGD1S1,25.2549,0.091561307,0.095422712,0.54973832,10.53855
104,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity2,NGD1S2,22.0077,0.130724265,0.115410712,0.85364928,12.34035
105,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity3,NGD1S3,19.9386,0.264865477,0.166490046,1.0351256,15.61626
106,Solanum lycopersicum,Drought1,Control,salinity1,COD1S1,18.7506,0.065565853,0.072102612,0.3998986,9.79704
107,Solanum lycopersicum,Drought1,Control,salinity2,COD1S2,13.2561,0.136086014,0.102498464,0.8930104,15.72615
108,Solanum lycopersicum,Drought1,Control,salinity3,COD1S3,9.6921,0.183329606,0.132136351,1.1145165,16.891677
109,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity1,PMD2S1,18.4041,0.16727264,0.14531276,1.1241472,17.1765
110,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity2,PMD2S2,15.5133,0.240087762,0.166480052,1.68526272,23.1066
111,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity3,PMD2S3,13.6917,0.36806939,0.21532073,2.071796104,28.87632
112,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity1,NCD2S1,22.077,0.110677984,0.10883466,0.78554576,12.63339
113,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity2,NCD2S2,19.7802,0.151324045,0.121467076,1.061872,15.01632
114,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity3,NCD2S3,17.3448,0.30740895,0.182535113,1.41324784,25.36677
115,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity1,NGD2S1,21.9582,0.115379301,0.109474276,0.707582,12.57696
116,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity2,NGD2S2,19.8099,0.151821336,0.125404712,1.057414932,15.20838
117,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity3,NGD2S3,17.5329,0.312565616,0.182447466,1.4295352,25.51626
118,Solanum lycopersicum,Drought2,Control,salinity1,COD2S1,15.1074,0.125258973,0.131491058,0.950602984,14.319459
119,Solanum lycopersicum,Drought2,Control,salinity2,COD2S2,10.6128,0.196525765,0.156685932,1.358777,17.6758659
120,Solanum lycopersicum,Drought2,Control,salinity3,COD2S3,7.425,0.246343767,0.17224659,1.7071788,19.773468
121,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity1,PMD3S1,16.1568,0.258537336,0.21801911,1.4973992,21.16026
122,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity2,PMD3S2,13.6521,0.323318408,0.230186805,1.98336532,26.7622146
123,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity3,PMD3S3,11.8998,0.444356343,0.28522876,2.3906092,32.647626
